SampleID,Normalization,Panel,Plate,Adj_factor,UniProt,OlinkID,Donor,Celltype,Stimulation,CD56status,Celltype_CD56status,Assay,LOD,NPX
D3 CD56+ M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P22301,OID00528,D3,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,IL-10,-1.91384,-2.63566
D3 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P22301,OID00528,D3,NK,control,NA,NK,IL-10,-1.91384,-2.98361
D3 CD56- M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D3,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,TNF,-1.54858,12.20375
D3 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D3,NK,IL-12 + IL-18,NA,NK,TNF,-1.54858,6.37905
D3 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D3,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,TNF,-1.54858,9.95762
CD56-M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D1,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,TNF,-1.54858,12.46803
CD56+M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D1,MAIT,control,CD56pos,CD56+ MAIT,TNF,-1.54858,6.18764
D2 CD56+M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D2,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,TNF,-1.54858,11.70272
CD56+M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D1,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,TNF,-1.54858,11.86147
D3 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D3,CD8T,PMA + Ionomycin,NA,CD8T,TNF,-1.54858,10.92659
D2 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D2,MAIT,control,CD56pos,CD56+ MAIT,TNF,-1.54858,5.45966
CD56+M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D1,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,TNF,-1.54858,10.88342
CD56-M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D1,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,TNF,-1.54858,10.80291
D2 CD56-MPI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D2,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,TNF,-1.54858,12.60551
D2 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D2,NK,IL-12 + IL-18,NA,NK,TNF,-1.54858,8.22779
D3 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D3,MAIT,control,CD56pos,CD56+ MAIT,TNF,-1.54858,6.50026
D2 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D2,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,TNF,-1.54858,9.98468
D1 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D1,NK,control,NA,NK,TNF,-1.54858,-1.43323
D2 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D2,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,TNF,-1.54858,9.18645
D3 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D3,MAIT,control,CD56neg,CD56- MAIT,TNF,-1.54858,6.26824
D2 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D2,NK,control,NA,NK,TNF,-1.54858,-1.27078
CD56-M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D1,MAIT,control,CD56neg,CD56- MAIT,TNF,-1.54858,6.54207
D2 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D2,CD8T,PMA + Ionomycin,NA,CD8T,TNF,-1.54858,10.63519
D1 NK c 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D1,NK,IL-12 + IL-18,NA,NK,TNF,-1.54858,9.0081
D3 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D3,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,TNF,-1.54858,9.74471
D1 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D1,CD8T,PMA + Ionomycin,NA,CD8T,TNF,-1.54858,11.06141
D2 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D2,MAIT,control,CD56neg,CD56- MAIT,TNF,-1.54858,4.83075
D3 CD56+ M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D3,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,TNF,-1.54858,11.61122
D3 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01375,OID05548,D3,NK,control,NA,NK,TNF,-1.54858,-1.45029
D3 CD56- M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D3,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,CCL23,-2.11725,-2.39105
D3 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D3,NK,IL-12 + IL-18,NA,NK,CCL23,-2.11725,-2.62226
D3 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D3,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,CCL23,-2.11725,-2.38845
CD56-M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D1,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,CCL23,-2.11725,-2.40895
CD56+M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D1,MAIT,control,CD56pos,CD56+ MAIT,CCL23,-2.11725,-3.1442
D2 CD56+M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D2,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,CCL23,-2.11725,-2.45297
CD56+M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D1,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,CCL23,-2.11725,-2.54991
D3 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D3,CD8T,PMA + Ionomycin,NA,CD8T,CCL23,-2.11725,-2.63725
D2 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D2,MAIT,control,CD56pos,CD56+ MAIT,CCL23,-2.11725,-2.7587
CD56+M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D1,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,CCL23,-2.11725,-2.52388
CD56-M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D1,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,CCL23,-2.11725,-2.45017
D2 CD56-MPI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D2,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,CCL23,-2.11725,-2.57959
D2 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D2,NK,IL-12 + IL-18,NA,NK,CCL23,-2.11725,-2.85733
D3 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D3,MAIT,control,CD56pos,CD56+ MAIT,CCL23,-2.11725,-2.74557
D2 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D2,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,CCL23,-2.11725,-2.52209
D1 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D1,NK,control,NA,NK,CCL23,-2.11725,-2.68604
D2 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D2,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,CCL23,-2.11725,-2.59332
D3 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D3,MAIT,control,CD56neg,CD56- MAIT,CCL23,-2.11725,-2.86501
D2 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D2,NK,control,NA,NK,CCL23,-2.11725,-2.67359
CD56-M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D1,MAIT,control,CD56neg,CD56- MAIT,CCL23,-2.11725,-2.86141
D2 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D2,CD8T,PMA + Ionomycin,NA,CD8T,CCL23,-2.11725,-2.66957
D1 NK c 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D1,NK,IL-12 + IL-18,NA,NK,CCL23,-2.11725,-2.47582
D3 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D3,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,CCL23,-2.11725,-2.80832
D1 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D1,CD8T,PMA + Ionomycin,NA,CD8T,CCL23,-2.11725,-2.52232
D2 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D2,MAIT,control,CD56neg,CD56- MAIT,CCL23,-2.11725,-2.54096
D3 CD56+ M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D3,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,CCL23,-2.11725,-2.27763
D3 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P55773,OID00530,D3,NK,control,NA,NK,CCL23,-2.11725,-2.52843
D3 CD56- M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D3,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,CD5,-1.9002,4.45042
D3 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D3,NK,IL-12 + IL-18,NA,NK,CD5,-1.9002,-1.45518
D3 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D3,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,CD5,-1.9002,4.97701
CD56-M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D1,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,CD5,-1.9002,4.54259
CD56+M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D1,MAIT,control,CD56pos,CD56+ MAIT,CD5,-1.9002,4.82711
D2 CD56+M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D2,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,CD5,-1.9002,4.4085
CD56+M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D1,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,CD5,-1.9002,4.74713
D3 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D3,CD8T,PMA + Ionomycin,NA,CD8T,CD5,-1.9002,4.32536
D2 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D2,MAIT,control,CD56pos,CD56+ MAIT,CD5,-1.9002,4.77765
CD56+M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D1,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,CD5,-1.9002,6.22736
CD56-M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D1,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,CD5,-1.9002,4.78416
D2 CD56-MPI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D2,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,CD5,-1.9002,4.5768
D2 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D2,NK,IL-12 + IL-18,NA,NK,CD5,-1.9002,-1.2376
D3 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D3,MAIT,control,CD56pos,CD56+ MAIT,CD5,-1.9002,5.26032
D2 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D2,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,CD5,-1.9002,4.63663
D1 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D1,NK,control,NA,NK,CD5,-1.9002,-0.94924
D2 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D2,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,CD5,-1.9002,4.2781
D3 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D3,MAIT,control,CD56neg,CD56- MAIT,CD5,-1.9002,4.63979
D2 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D2,NK,control,NA,NK,CD5,-1.9002,-0.51599
CD56-M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D1,MAIT,control,CD56neg,CD56- MAIT,CD5,-1.9002,4.86469
D2 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D2,CD8T,PMA + Ionomycin,NA,CD8T,CD5,-1.9002,4.17046
D1 NK c 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D1,NK,IL-12 + IL-18,NA,NK,CD5,-1.9002,-1.12311
D3 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D3,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,CD5,-1.9002,5.22447
D1 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D1,CD8T,PMA + Ionomycin,NA,CD8T,CD5,-1.9002,4.88442
D2 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D2,MAIT,control,CD56neg,CD56- MAIT,CD5,-1.9002,4.94976
D3 CD56+ M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D3,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,CD5,-1.9002,5.20723
D3 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P06127,OID00531,D3,NK,control,NA,NK,CD5,-1.9002,-1.70703
D3 CD56- M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D3,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,CCL3,-2.14045,11.05341
D3 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D3,NK,IL-12 + IL-18,NA,NK,CCL3,-2.14045,11.19288
D3 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D3,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,CCL3,-2.14045,11.09785
CD56-M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D1,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,CCL3,-2.14045,11.0211
CD56+M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D1,MAIT,control,CD56pos,CD56+ MAIT,CCL3,-2.14045,9.97667
D2 CD56+M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D2,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,CCL3,-2.14045,11.14171
CD56+M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D1,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,CCL3,-2.14045,11.18533
D3 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D3,CD8T,PMA + Ionomycin,NA,CD8T,CCL3,-2.14045,10.82756
D2 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D2,MAIT,control,CD56pos,CD56+ MAIT,CCL3,-2.14045,8.867
CD56+M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D1,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,CCL3,-2.14045,11.35989
CD56-M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D1,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,CCL3,-2.14045,11.30786
D2 CD56-MPI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D2,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,CCL3,-2.14045,10.94282
D2 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D2,NK,IL-12 + IL-18,NA,NK,CCL3,-2.14045,10.67765
D3 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D3,MAIT,control,CD56pos,CD56+ MAIT,CCL3,-2.14045,9.74735
D2 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D2,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,CCL3,-2.14045,11.16256
D1 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D1,NK,control,NA,NK,CCL3,-2.14045,1.69511
D2 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D2,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,CCL3,-2.14045,11.08833
D3 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D3,MAIT,control,CD56neg,CD56- MAIT,CCL3,-2.14045,9.53921
D2 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D2,NK,control,NA,NK,CCL3,-2.14045,1.98594
CD56-M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D1,MAIT,control,CD56neg,CD56- MAIT,CCL3,-2.14045,10.01154
D2 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D2,CD8T,PMA + Ionomycin,NA,CD8T,CCL3,-2.14045,9.29608
D1 NK c 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D1,NK,IL-12 + IL-18,NA,NK,CCL3,-2.14045,11.03497
D3 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D3,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,CCL3,-2.14045,11.0345
D1 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D1,CD8T,PMA + Ionomycin,NA,CD8T,CCL3,-2.14045,10.74671
D2 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D2,MAIT,control,CD56neg,CD56- MAIT,CCL3,-2.14045,8.69059
D3 CD56+ M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D3,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,CCL3,-2.14045,11.17462
D3 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10147,OID00532,D3,NK,control,NA,NK,CCL3,-2.14045,1.11821
D3 CD56- M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D3,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,Flt3L,-0.62454,2.6061
D3 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D3,NK,IL-12 + IL-18,NA,NK,Flt3L,-0.62454,0.52993
D3 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D3,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,Flt3L,-0.62454,2.58373
CD56-M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D1,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,Flt3L,-0.62454,2.44267
CD56+M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D1,MAIT,control,CD56pos,CD56+ MAIT,Flt3L,-0.62454,1.71604
D2 CD56+M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D2,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,Flt3L,-0.62454,2.0719
CD56+M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D1,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,Flt3L,-0.62454,2.04961
D3 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D3,CD8T,PMA + Ionomycin,NA,CD8T,Flt3L,-0.62454,1.44139
D2 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D2,MAIT,control,CD56pos,CD56+ MAIT,Flt3L,-0.62454,1.64128
CD56+M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D1,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,Flt3L,-0.62454,2.58997
CD56-M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D1,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,Flt3L,-0.62454,2.41784
D2 CD56-MPI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D2,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,Flt3L,-0.62454,2.76349
D2 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D2,NK,IL-12 + IL-18,NA,NK,Flt3L,-0.62454,0.85329
D3 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D3,MAIT,control,CD56pos,CD56+ MAIT,Flt3L,-0.62454,2.34895
D2 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D2,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,Flt3L,-0.62454,2.14322
D1 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D1,NK,control,NA,NK,Flt3L,-0.62454,-0.34047
D2 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D2,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,Flt3L,-0.62454,2.53843
D3 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D3,MAIT,control,CD56neg,CD56- MAIT,Flt3L,-0.62454,1.92134
D2 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D2,NK,control,NA,NK,Flt3L,-0.62454,-1.0185
CD56-M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D1,MAIT,control,CD56neg,CD56- MAIT,Flt3L,-0.62454,2.24233
D2 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D2,CD8T,PMA + Ionomycin,NA,CD8T,Flt3L,-0.62454,1.66311
D1 NK c 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D1,NK,IL-12 + IL-18,NA,NK,Flt3L,-0.62454,0.51557
D3 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D3,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,Flt3L,-0.62454,1.92865
D1 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D1,CD8T,PMA + Ionomycin,NA,CD8T,Flt3L,-0.62454,1.4161
D2 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D2,MAIT,control,CD56neg,CD56- MAIT,Flt3L,-0.62454,2.4356
D3 CD56+ M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D3,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,Flt3L,-0.62454,1.99303
D3 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P49771,OID00533,D3,NK,control,NA,NK,Flt3L,-0.62454,-1.20143
D3 CD56- M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80162,OID00534,D3,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,CXCL6,-2.74166,-3.2637
D3 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P80162,OID00534,D3,NK,IL-12 + IL-18,NA,NK,CXCL6,-2.74166,-2.99518
D3 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P80162,OID00534,D3,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,CXCL6,-2.74166,-3.7385
CD56-M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80162,OID00534,D1,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,CXCL6,-2.74166,-3.39229
CD56+M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80162,OID00534,D1,MAIT,control,CD56pos,CD56+ MAIT,CXCL6,-2.74166,-3.39682
D2 CD56+M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80162,OID00534,D2,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,CXCL6,-2.74166,-3.13159
CD56+M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80162,OID00534,D1,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,CXCL6,-2.74166,-3.50601
D3 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80162,OID00534,D3,CD8T,PMA + Ionomycin,NA,CD8T,CXCL6,-2.74166,-2.83406
D2 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80162,OID00534,D2,MAIT,control,CD56pos,CD56+ MAIT,CXCL6,-2.74166,-4.02856
CD56+M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80162,OID00534,D1,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,CXCL6,-2.74166,-3.16241
CD56-M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80162,OID00534,D1,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,CXCL6,-2.74166,-2.57447
D2 CD56-MPI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80162,OID00534,D2,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,CXCL6,-2.74166,-2.90297
D2 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P80162,OID00534,D2,NK,IL-12 + IL-18,NA,NK,CXCL6,-2.74166,-3.24641
D3 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80162,OID00534,D3,MAIT,control,CD56pos,CD56+ MAIT,CXCL6,-2.74166,-3.14233
